Are-6_rxns,Are-6_kcat
6PGL_h,3376.5
ABCAT_h1,835
ABCAT_h2,835
ABCAT_h3,835
ABCAT_h4,835
ABCAT_h5,835
ACoAC_h_EXP_1,301
ACoAC_h_EXP_2,30.1
AGNDA_h_EXP_1,6.1
AGNDA_h_EXP_2,6.1
AGNDA_h_EXP_3,6.1
AGNDA_h_EXP_4,6.1
AGPase_h_EXP_1,59.5
AGPase_h_EXP_2,59.5
AGPase_h_EXP_3,59.5
AGPase_h_EXP_4,59.5
AGPase_h_EXP_5,59.5
AGPase_h_EXP_6,59.5
AICARTf_h,13.0166166666667
ALS1_h,486
AOS_h,537.8
AOX4_h,0.1349
AOX_h_EXP_1,75
AOX_h_EXP_2,75
AOX_h_EXP_3,75
APSR_h_EXP_1,8.4
APSR_h_EXP_2,8.4
APSR_h_EXP_3,8.4
ATPSL_h_EXP_1,2.11
ATPSL_h_EXP_2,2.11
ATPSL_h_EXP_3,2.11
CBPS_h_EXP_1,9.4
CBPS_h_EXP_2,9.4
CDPMEK_h,20.02
CDS_h_EXP_1,8.92
CDS_h_EXP_2,8.92
CPPGO_h_EXP_1,16
CPPGO_h_EXP_2,16
CTHS_h,121
ChlPLbR_h1,0.5445
ChlPLbR_h1_REV,4670
ChlPLbR_h2,0.9176
ChlPLbR_h2_REV,0.6042
ChlPLbR_h3,0.5445
ChlPLbR_h3_REV,4670
ChlPLbR_h4,0.9176
ChlPLbR_h4_REV,0.6042
ChlS_h1,2170
ChlS_h1_REV,2170
ChlS_h2,2170
ChlS_h2_REV,2170
DAPAT_h,19
DAPDC_h_EXP_1,15.65
DAPDC_h_EXP_2,15.65
DHDPS_h,465
DHLAcT_h_EXP_1,5.45333333333333
DHLAcT_h_EXP_2,5.45333333333333
DHLAcT_h_REV_EXP_1,5.45333333333333
DHLAcT_h_REV_EXP_2,5.45333333333333
DPE11_h,580
DPE12_h,1.3
DPE13_h,1.3
DXPRI_h,4.4
DXPRI_h_REV,44
DXS_h_EXP_1,53
DXS_h_EXP_2,0.53
ENR_NADH_h1,91.13
ENR_NADH_h2,91.13
ENR_NADH_h3,91.13
ENR_NADH_h4,91.13
ENR_NADH_h5,91.13
ENR_NADH_h6,91.13
ENR_NADH_h7,91.13
ENR_NADH_h8,91.13
FAD4_EXP_1,0.17
FAD4_EXP_2,0.17
FAD5_h1,1.7
FAD5_h2,1.7
FAD5_h3,0.17
FAD6_h1,1.30666666666667
FAD6_h10,0.130666666666667
FAD6_h11,0.130666666666667
FAD6_h12,0.130666666666667
FAD6_h13,0.130666666666667
FAD6_h14,0.130666666666667
FAD6_h15,0.130666666666667
FAD6_h2,1.30666666666667
FAD6_h3,0.130666666666667
FAD6_h4,0.130666666666667
FAD6_h5,0.130666666666667
FAD6_h6,0.130666666666667
FAD6_h7,0.130666666666667
FAD6_h8,0.130666666666667
FAD6_h9,0.130666666666667
FAD7_8_h10_EXP_1,0.17
FAD7_8_h10_EXP_2,0.17
FAD7_8_h11_EXP_1,0.17
FAD7_8_h11_EXP_2,0.17
FAD7_8_h12_EXP_1,0.17
FAD7_8_h12_EXP_2,17
FAD7_8_h13_EXP_1,0.17
FAD7_8_h13_EXP_2,1.7
FAD7_8_h14_EXP_1,0.17
FAD7_8_h14_EXP_2,0.17
FAD7_8_h15_EXP_1,0.17
FAD7_8_h15_EXP_2,0.17
FAD7_8_h16_EXP_1,0.17
FAD7_8_h16_EXP_2,0.17
